"","Alnus.glutinosa.type","Betula","Calluna.vulgaris","Castanea.sativa","Corylus.avellana","Cryptomeria.japonica","Ericaceae","Frangula.azorica","Fraxinus.excelsior","Hedera.azorica","Ilex.perado","Juniperus.brevifolia","Ligustrum","Myrica.faya","Myrsine.africana","Picconia.azorica","Pinus","Quercus","Rubus","Ulex.type","Vaccinium.cylindraceum","Viburnum.tinus","Allium.type","Ambrosia","Anagallis","Angelica.lignescens","Apiaceae","Artemisia","Asteraceae.Subfam..Cichorioideae","Bellis.type","Bidens","Boraginaceae","Brassicaceae","Centaurium","Cerealia","Chaerophyllum.azoricum","Chenopodiaceae.type","Chrysanthemum.type","Crassulaceae","Daucus.carota","Euphorbia","Euphrasia","Fabaceae","Falcaria.type","Hydrangea","Hypericum","Juncaceae","Lamiaceae","Liliaceae.type","Lysimachia","Mentha.type","Plantago.alpina.type","Plantago.lanceolata.type","Poaceae","Pollen..tricolporate..small..smooth.","Polygonum.persicaria.type","Potentilla.type","Ranunculus.cortusifolius.type","Rubiaceae","Rumex.acetosella.type","Rumex.obtusifolius.type","Sagina","Secale","Senecio.type","Spergula.type","Teucrium","Thalictrum","Urtica","Verbena.officinalis","Veronica","Zea.mays","Adiantum","Anogramma.leptophylla.Pteris.cretica","Asplenium.type","Athyrium.filix.femina","Blechnum","Cheilanthes.type","Culcita.macrocarpa","Diphasiastrum.madeirense","Dryopteris.dilatata.type","Dryopteris.filix.mas.type","Huperzia.selago","Hymenophyllum.tunbrigense.type","Lycopodium.inundatum","Monolete.fern.spore","Ophioglossum.azoricum","Ophioglossum.lusitanicum","Osmunda.regalis","Polypodium","Pteridium.aquilinum","Selaginella.kraussiana","Trichomanes","Trilete.fern.spore","Alisma","Cyperaceae","Isoetes","Littorella.uniflora","Potamogeton.type","Anthoceros.punctatus","Cercophora.type","Juniperus..stomata","Cal_yrs_BP","min","max"
"1",0.000402738622633911,0,0.00523560209424084,0,0,0.00201369311316955,0.00604107933950866,0.00161095449053564,0,0,0.00563834071687475,0.0455094643576319,0,0.00805477245267821,0.067660088602497,0.0140958517921869,0,0,0.000402738622633911,0,0.000402738622633911,0.00120821586790173,0,0,0,0,0,0,0,0.000402738622633911,0,0,0,0,0,0,0,0,0,0,0.00281917035843737,0,0,0,0.00724929520741039,0.000805477245267821,0,0,0,0,0,0,0.00684655658477648,0.0209424083769634,0.000805477245267821,0,0.00604107933950866,0,0.000805477245267821,0.000402738622633911,0,0.000402738622633911,0.000402738622633911,0,0,0,0,0,0,0,0,0,0.00281917035843737,0,0.000402738622633911,0,0,0.0322190898107129,0.000402738622633911,0,0,0.000402738622633911,0,0,0.080950463149416,0.000805477245267821,0.00161095449053564,0.00161095449053564,0,0.000402738622633911,0.00443012484897302,0.00926298832057994,0,0,0.00563834071687475,0.651631091421667,0,0,0.000805477245267821,0.000402738622633911,0,-39,NA,NA
"2",0,0,0.00367197062423501,0,0,0,0.00815993472052224,0.00163198694410445,0,0,0.00530395756833945,0.0371277029783762,0,0.00856793145654835,0.0889432884536924,0.00938392492860057,0,0,0,0,0.000815993472052224,0.00122399020807834,0,0,0,0,0,0,0,0.000815993472052224,0,0,0.000407996736026112,0,0.000407996736026112,0,0.000407996736026112,0,0,0,0.00244798041615667,0,0,0,0.00815993472052224,0.00122399020807834,0,0,0,0.00122399020807834,0,0,0.00611995104039168,0.0326397388820889,0,0,0.00938392492860057,0,0,0.000407996736026112,0,0.000407996736026112,0,0,0,0,0,0,0,0.000407996736026112,0,0,0.00367197062423501,0,0,0,0.000815993472052224,0.0342717258261934,0,0,0,0.000407996736026112,0.000407996736026112,0,0.0836393308853529,0,0.00122399020807834,0.00244798041615667,0.000815993472052224,0.00326397388820889,0.00448796409628723,0.0118319053447572,0,0,0.00489596083231334,0.616075071399429,0.000407996736026112,0,0.000407996736026112,0.00163198694410445,0,-14,NA,NA
"3",0,0,0.00378787878787879,0,0,0,0.00568181818181818,0,0,0,0.00315656565656566,0.0656565656565657,0,0.00378787878787879,0.0997474747474748,0.0132575757575758,0,0,0,0,0.000631313131313131,0.00189393939393939,0,0,0,0.000631313131313131,0,0,0,0.000631313131313131,0,0,0,0,0,0,0,0,0,0,0.00189393939393939,0,0,0,0.00694444444444444,0.00189393939393939,0,0,0,0.000631313131313131,0,0,0.00252525252525253,0.0378787878787879,0.000631313131313131,0,0.00757575757575758,0,0,0,0.000631313131313131,0,0,0.000631313131313131,0,0,0,0,0,0,0,0,0.00631313131313131,0,0,0,0.00126262626262626,0.0454545454545455,0,0,0,0.00252525252525253,0,0,0.0700757575757576,0,0,0.00378787878787879,0,0.00252525252525253,0.00505050505050505,0.0126262626262626,0,0,0.00441919191919192,0.585227272727273,0,0,0,0.000631313131313131,0,11,NA,NA
"4",0,0,0.0021551724137931,0,0,0,0.00754310344827586,0.000538793103448276,0,0,0.00431034482758621,0.0835129310344828,0,0.00538793103448276,0.0926724137931035,0.015625,0,0,0,0,0.000538793103448276,0.00377155172413793,0,0.000538793103448276,0,0.00161637931034483,0,0,0.000538793103448276,0,0,0,0,0.000538793103448276,0,0.000538793103448276,0,0,0,0,0.00107758620689655,0.000538793103448276,0,0.000538793103448276,0.00754310344827586,0.00161637931034483,0,0.000538793103448276,0,0,0,0,0.00323275862068966,0.0366379310344828,0,0,0.00484913793103448,0.000538793103448276,0,0,0,0,0,0,0,0,0,0.000538793103448276,0,0,0,0,0.00538793103448276,0,0,0,0,0.0355603448275862,0.000538793103448276,0,0,0.00107758620689655,0,0,0.0991379310344828,0.00161637931034483,0.00107758620689655,0.00431034482758621,0,0.00269396551724138,0.00161637931034483,0.0118534482758621,0,0,0.00484913793103448,0.551185344827586,0,0,0.00161637931034483,0,0,34,NA,NA
"5",0,0,0.00661057692307692,0,0,0,0.00540865384615385,0.000600961538461538,0,0,0.00540865384615385,0.0540865384615385,0,0.00901442307692308,0.0889423076923077,0.0162259615384615,0,0,0,0,0.00120192307692308,0.00120192307692308,0,0,0,0,0,0,0.000600961538461538,0,0,0,0,0,0,0,0,0,0,0,0.00300480769230769,0,0,0.000600961538461538,0.015625,0.00120192307692308,0,0,0,0,0,0,0.000600961538461538,0.0252403846153846,0.000600961538461538,0,0.0078125,0,0.00360576923076923,0,0,0,0,0.00180288461538462,0.000600961538461538,0,0,0,0,0,0,0,0.00300480769230769,0,0,0,0,0.0360576923076923,0,0,0,0.000600961538461538,0,0,0.0853365384615385,0,0.00120192307692308,0.00240384615384615,0.000600961538461538,0.00600961538461538,0.00300480769230769,0.00600961538461538,0.00120192307692308,0,0.0078125,0.594951923076923,0,0,0.000600961538461538,0.00120192307692308,0,56,NA,NA
"6",0,0.000538213132400431,0.00538213132400431,0,0,0,0.00376749192680301,0.00215285252960172,0,0,0.00592034445640474,0.0769644779332616,0,0.00645855758880517,0.0904198062432723,0.0139935414424112,0,0.000538213132400431,0,0,0,0.00107642626480086,0,0.000538213132400431,0,0.00107642626480086,0,0,0.00107642626480086,0,0,0,0,0,0,0,0,0,0,0,0.00161463939720129,0,0,0,0.00861141011840689,0.00161463939720129,0,0,0,0,0,0,0.00322927879440258,0.0333692142088267,0.000538213132400431,0,0.00592034445640474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592034445640474,0,0,0,0.00107642626480086,0.0376749192680301,0,0,0,0.00107642626480086,0,0,0.0882669537136706,0.000538213132400431,0.00376749192680301,0.00215285252960172,0.000538213132400431,0.00430570505920344,0.00753498385360603,0.011302475780409,0.00161463939720129,0,0.00753498385360603,0.560279870828848,0,0,0.000538213132400431,0.00107642626480086,0,78,NA,NA
"7",0.000524109014675052,0.000524109014675052,0.00471698113207547,0,0,0,0.00366876310272537,0,0,0,0.00628930817610063,0.0649895178197065,0,0.00786163522012579,0.105870020964361,0.010482180293501,0.000524109014675052,0,0,0,0,0.00366876310272537,0,0,0,0.000524109014675052,0,0,0.000524109014675052,0.000524109014675052,0,0,0,0.000524109014675052,0,0,0,0,0,0.000524109014675052,0.00157232704402516,0,0,0.000524109014675052,0.0131027253668763,0.00262054507337526,0.000524109014675052,0,0,0.000524109014675052,0,0,0.00209643605870021,0.0335429769392034,0,0,0.00366876310272537,0.000524109014675052,0,0.000524109014675052,0,0.000524109014675052,0,0.000524109014675052,0,0,0,0,0,0,0,0,0.00209643605870021,0,0,0,0.0010482180293501,0.030398322851153,0,0,0,0.00209643605870021,0,0,0.0875262054507338,0,0.0010482180293501,0.000524109014675052,0,0.00366876310272537,0.00628930817610063,0.010482180293501,0.0010482180293501,0,0.00733752620545073,0.572327044025157,0.000524109014675052,0,0.000524109014675052,0.0010482180293501,0,99,NA,NA
"8",0,0.000575705238917674,0.00460564191134139,0,0,0,0.00518134715025907,0.00115141047783535,0,0,0.00575705238917674,0.077720207253886,0,0.0115141047783535,0.103626943005181,0.0126655152561888,0,0,0.000575705238917674,0,0.000575705238917674,0.00115141047783535,0,0,0,0.000575705238917674,0,0,0.00115141047783535,0.000575705238917674,0,0,0.000575705238917674,0,0,0,0,0,0,0,0.00115141047783535,0,0.000575705238917674,0,0.0149683362118595,0.00172711571675302,0,0,0,0,0,0,0.00345423143350604,0.0379965457685665,0.000575705238917674,0,0.0132412204951065,0,0.0023028209556707,0,0,0,0,0,0,0,0,0.000575705238917674,0,0,0,0,0.00863557858376511,0,0,0,0,0.0397236614853195,0.000575705238917674,0,0.000575705238917674,0,0.000575705238917674,0,0.0817501439263097,0.000575705238917674,0.000575705238917674,0.00345423143350604,0,0.00345423143350604,0.00690846286701209,0.0115141047783535,0.00115141047783535,0,0.00748416810592976,0.526770293609672,0,0,0.000575705238917674,0.00115141047783535,0,117,NA,NA
"9",0,0,0.00498753117206983,0,0,0,0.00648379052369077,0.00149625935162095,0,0,0.000997506234413965,0.0369077306733167,0,0.00798004987531172,0.0907730673316708,0.0114713216957606,0,0,0,0,0.000997506234413965,0.00349127182044888,0,0,0,0.000498753117206983,0,0,0.000997506234413965,0.000498753117206983,0,0,0,0.000498753117206983,0,0,0,0,0,0,0.00249376558603491,0,0,0,0.00498753117206983,0.000997506234413965,0,0,0,0,0,0,0.00249376558603491,0.0418952618453865,0,0,0.00598503740648379,0,0.000498753117206983,0,0,0,0,0,0.000498753117206983,0,0,0,0,0,0,0,0.00448877805486284,0,0,0,0.00149625935162095,0.0269326683291771,0.000498753117206983,0,0,0,0,0,0.0882793017456359,0.000498753117206983,0.000498753117206983,0.000997506234413965,0.000498753117206983,0.00498753117206983,0.00399002493765586,0.00648379052369077,0.000498753117206983,0,0.00349127182044888,0.62643391521197,0.000498753117206983,0,0.000997506234413965,0.000498753117206983,0,137,NA,NA
"10",0,0,0.0021795989537925,0,0,0,0.00871839581517001,0.0021795989537925,0,0,0.0039232781168265,0.0575414123801221,0.0004359197907585,0.0030514385353095,0.101133391455972,0.0108979947689625,0,0.0004359197907585,0,0,0.0004359197907585,0.000871839581517001,0,0,0,0,0.0004359197907585,0,0.0004359197907585,0,0,0,0,0,0,0,0.0013077593722755,0,0,0,0.000871839581517001,0,0.0004359197907585,0,0,0.000871839581517001,0,0.0004359197907585,0,0.0004359197907585,0,0,0.0013077593722755,0.036617262423714,0,0,0.0039232781168265,0.0004359197907585,0.0004359197907585,0,0,0.000871839581517001,0.0004359197907585,0,0,0,0,0.0004359197907585,0,0,0,0,0.00566695727986051,0,0,0,0.0004359197907585,0.0292066259808195,0,0,0,0,0.000871839581517001,0,0.0980819529206626,0,0,0.0004359197907585,0,0.00741063644289451,0.00741063644289451,0.0117698343504795,0.0004359197907585,0,0.00523103748910201,0.591107236268527,0,0,0.0004359197907585,0,0,156,NA,NA
